iso,year,total_foreign_debt,total_debt_GDP,GDP_percapita
GNQ,2008,0.236652,1.2,22942.5834490967
GNQ,2012,1.713617,7.7,21712.3950163809
GNQ,2017,1.232506,10,9738.43422416926
GRC,2008,NA,NA,31997.2820108813
GRC,2012,NA,NA,22242.681934771
GRC,2017,NA,NA,18883.4600669282
GRD,2008,NA,NA,7832.42335227049
GRD,2012,NA,NA,7444.5047675973
GRD,2017,NA,NA,10163.6298527725
GRL,2008,NA,NA,44367.0556497873
GRL,2012,NA,NA,45936.7659516989
GRL,2017,NA,NA,NA
GTM,2008,13.8231,35.32,2794.21378756945
GTM,2012,15.3671,30.497,3299.66560477367
GTM,2017,22.9927,30.406,4470.61079849788
GUF,2008,NA,NA,NA
GUF,2012,NA,NA,NA
GUF,2017,NA,NA,NA
GUM,2008,NA,NA,29056.3142936191
GUM,2012,NA,NA,32494.5623640591
GUM,2017,NA,NA,35664.5016770046
GUY,2008,0.9905,51.669,2566.8870846973
GUY,2012,1.9743,68.994,3788.14674878178
GUY,2017,1.5895,43.9,4586.05457171312
HIC,2008,NA,NA,40417.8887373947
HIC,2012,NA,NA,41867.9310250033
HIC,2017,NA,NA,42346.1732461324
HKG,2008,227.9831,103.969,31515.6627713018
HKG,2012,345.45939,131.553,36730.8767001128
HKG,2017,642.99667,188.166,46220.5045489974
HMD,2008,NA,NA,NA
HMD,2012,NA,NA,NA
HMD,2017,NA,NA,NA
HND,2008,3.489,25.301,1727.82921464566
HND,2012,5.055,27.472,2129.52169798827
HND,2017,8.6709,37.798,2432.9353638196
HPC,2008,NA,NA,722.15578221365
HPC,2012,NA,NA,863.611444679249
HPC,2017,NA,NA,990.586869563415
HRV,2008,54.545532,77.4,16357.1760634314
HRV,2012,58.451706,103.4,13250.7571179806
HRV,2017,48.129074,87.2,13383.6834974431
HTI,2008,1.9642,30.654,678.844789796271
HTI,2012,1.1634,14.877,769.707383397324
HTI,2017,2.2133,25.974,765.61398474258
HUN,2008,223.70364,141.614,15739.7354115842
HUN,2012,207.22733,161.993,12888.3045908829
HUN,2017,153.99689,110.374,14278.8744978024
IBD,2008,NA,NA,3913.3302632373
IBD,2012,NA,NA,5566.43522352931
IBD,2017,NA,NA,6052.03861067607
IBT,2008,NA,NA,3234.66532838239
IBT,2012,NA,NA,4525.24798076262
